var,val,type,avg_pt,max_pt,min_pt,sd_pt,avg_ct,max_ct,min_ct,sd_ct
meanbid,30,auction,3.184479174,10.980828,1.560503,1.1045996274005236,3.40191953,4.813821,1.863317,0.5853825662496186
meanbid,30,choice,3.160184214,4.5004,1.803738,0.6011230470202021,3.226081338,4.624588,1.810715,0.6310888852049921
meanbid,30,battistoni,10.061538896,22.471195,2.979352,3.6672815290649705,3.158326118,10.100504,1.623003,1.9031016506184815
meanbid,50,auction,2.54015529,4.62158,1.560347,0.38507790077296034,2.743989552,3.930345,1.581078,0.4483053156202805
meanbid,50,choice,2.565230358,4.38176,1.56215,0.3832280436986075,2.591000332,4.51032,1.565327,0.3921101795359944
meanbid,50,battistoni,19.196946764,30.903567,9.824046,4.179997015817007,2.11169617,2.936226,1.529591,0.27010195847148
meanbid,70,auction,2.306547346,5.282405,1.500824,0.4515864552867571,2.342410718,3.376957,1.506483,0.40019973887110233
meanbid,70,choice,2.30604891,3.007908,1.500981,0.39396697219690624,2.312950696,3.014524,1.50188,0.3935092122308696
meanbid,70,battistoni,24.438617318,37.119987,16.013009,3.0827698159740233,1.7787149,2.429941,1.503708,0.15839387619706136
