var,val,type,avg_pt,max_pt,min_pt,sd_pt,avg_ct,max_ct,min_ct,sd_ct
topology,Net1,auction,2.54015529,4.62158,1.560347,0.38507790077296034,2.743989552,3.930345,1.581078,0.4483053156202805
topology,Net1,choice,2.565230358,4.38176,1.56215,0.3832280436986075,2.591000332,4.51032,1.565327,0.3921101795359944
topology,Net1,battistoni,19.196946764,30.903567,9.824046,4.179997015817007,2.11169617,2.936226,1.529591,0.27010195847148
topology,Net2,auction,2.643941692,8.91281,1.530326,0.6148596550040059,2.780750364,4.215994,1.537116,0.4556980400691663
topology,Net2,choice,2.559624612,4.110827,1.530823,0.3643491885738425,2.583299914,4.241757,1.53735,0.36878009226812475
topology,Net2,battistoni,19.288843042,33.004116,8.463937,4.32086142238971,2.12039416,2.928071,1.540993,0.27437323439374767
topology,Net3,auction,2.494818746,6.060897,1.530661,0.493073210125642,2.69712026,4.058759,1.53358,0.3784599122696252
topology,Net3,choice,2.666114632,4.234692,1.534044,0.44773850345951327,2.692775934,4.263287,1.53783,0.4606267318864306
topology,Net3,battistoni,18.775076292,30.66123,7.928285,4.236245166944321,2.147385318,2.920983,1.546114,0.2731001309729032
