var,val,type,avg_pt,max_pt,min_pt,sd_pt,avg_ct,max_ct,min_ct,sd_ct
sd,10,auction,2.863885852,9.00362,2.103318,0.5564598084872708,2.993071974,3.966447,2.106964,0.3078881784089693
sd,10,choice,2.798640022,3.870385,2.109957,0.200370848559289,2.821393712,3.901449,2.111391,0.21103512870100338
sd,10,battistoni,22.861677574,36.572674,8.750399,4.946494742578956,2.587137496,2.971296,2.019532,0.17340022633234936
sd,20,auction,2.54015529,4.62158,1.560347,0.38507790077296034,2.743989552,3.930345,1.581078,0.4483053156202805
sd,20,choice,2.565230358,4.38176,1.56215,0.3832280436986075,2.591000332,4.51032,1.565327,0.3921101795359944
sd,20,battistoni,19.196946764,30.903567,9.824046,4.179997015817007,2.11169617,2.936226,1.529591,0.27010195847148
sd,40,auction,2.375565242,5.881516,1.500589,0.5546300732326795,2.567346794,4.30003,1.508231,0.511004073111422
sd,40,choice,2.409455828,4.440349,1.500424,0.5115707806272114,2.433258894,4.567294,1.505314,0.5222690978379965
sd,40,battistoni,17.070333962,29.872154,7.969058,3.322931780918039,1.85538549,2.796145,1.507365,0.23295593038764628
