n_type,request_id,completion_time,total_processing_time
auction,0,0:00:02.316416,0:00:02.313105
auction,1,0:00:02.945609,0:00:02.941376
auction,2,0:00:03.055499,0:00:02.700968
auction,3,0:00:02.797824,0:00:02.401205
auction,4,0:00:03.857821,0:00:03.450474
auction,15,0:00:02.676865,0:00:02.340800
auction,16,0:00:02.734299,0:00:02.730672
auction,17,0:00:02.641245,0:00:02.280871
auction,18,0:00:02.571606,0:00:02.190815
auction,19,0:00:02.376731,0:00:02.013541
auction,30,0:00:02.494816,0:00:02.100679
auction,31,0:00:02.330257,0:00:01.921218
auction,32,0:00:02.465668,0:00:02.461158
auction,33,0:00:02.255160,0:00:02.254190
auction,34,0:00:02.932411,0:00:02.551389
auction,45,0:00:02.857874,0:00:02.856502
auction,46,0:00:02.578416,0:00:02.190943
auction,47,0:00:02.467572,0:00:02.465884
auction,48,0:00:01.716320,0:00:01.712563
auction,49,0:00:02.973869,0:00:02.970395
auction,60,0:00:01.983148,0:00:01.982310
auction,61,0:00:02.016064,0:00:01.621434
auction,62,0:00:02.790306,0:00:02.400772
auction,63,0:00:01.892929,0:00:01.891696
auction,64,0:00:03.138968,0:00:02.760351
auction,75,0:00:03.347102,0:00:03.001000
auction,76,0:00:02.971382,0:00:02.970633
auction,77,0:00:02.147400,0:00:01.800269
auction,78,0:00:02.402088,0:00:02.400621
auction,79,0:00:01.534777,0:00:01.531550
auction,90,0:00:03.213595,0:00:02.880719
auction,91,0:00:02.681380,0:00:02.673598
auction,92,0:00:01.935818,0:00:01.930029
auction,93,0:00:02.189131,0:00:01.830377
auction,94,0:00:02.804197,0:00:02.801779
auction,105,0:00:01.879842,0:00:01.530839
auction,106,0:00:02.016614,0:00:01.681418
auction,107,0:00:02.229396,0:00:02.226355
auction,108,0:00:03.538666,0:00:02.880739
auction,109,0:00:01.569981,0:00:01.563237
auction,120,0:00:02.372724,0:00:02.370617
auction,121,0:00:03.757025,0:00:03.062980
auction,122,0:00:02.348561,0:00:02.347681
auction,123,0:00:02.407185,0:00:02.040602
auction,124,0:00:02.649526,0:00:02.643244
auction,135,0:00:01.564285,0:00:01.560489
auction,136,0:00:02.288323,0:00:02.281036
auction,137,0:00:03.088961,0:00:02.730960
auction,138,0:00:02.950491,0:00:02.220386
auction,139,0:00:02.138340,0:00:02.132755
auction,150,0:00:01.508570,0:00:01.504850
auction,151,0:00:02.857666,0:00:02.461035
auction,152,0:00:02.256227,0:00:02.254350
auction,153,0:00:02.832038,0:00:02.821541
auction,154,0:00:02.799388,0:00:02.791371
auction,165,0:00:02.568740,0:00:01.890906
auction,166,0:00:02.918352,0:00:02.912153
auction,167,0:00:02.233446,0:00:01.860268
auction,168,0:00:02.020334,0:00:02.014585
auction,169,0:00:02.811270,0:00:02.430644
auction,180,0:00:02.793742,0:00:02.791292
auction,181,0:00:03.173851,0:00:02.820749
auction,182,0:00:02.135434,0:00:02.132291
auction,183,0:00:02.226721,0:00:02.222147
auction,184,0:00:02.947867,0:00:02.580746
auction,195,0:00:03.184776,0:00:02.820664
auction,196,0:00:02.389437,0:00:02.042151
auction,197,0:00:02.166652,0:00:02.160437
auction,198,0:00:02.677219,0:00:02.672270
auction,199,0:00:01.834212,0:00:01.831742
auction,210,0:00:02.153578,0:00:01.773189
auction,211,0:00:02.242701,0:00:01.560917
auction,212,0:00:01.777513,0:00:01.775119
auction,213,0:00:01.904110,0:00:01.902131
auction,214,0:00:01.966637,0:00:01.592911
auction,225,0:00:03.230435,0:00:02.850383
auction,226,0:00:02.735833,0:00:02.735187
auction,227,0:00:03.117318,0:00:02.760868
auction,228,0:00:01.894732,0:00:01.891282
auction,229,0:00:02.583094,0:00:02.580796
auction,240,0:00:03.038902,0:00:02.641906
auction,241,0:00:02.682284,0:00:02.672359
auction,242,0:00:03.215675,0:00:02.820977
auction,243,0:00:01.688636,0:00:01.681244
auction,244,0:00:02.198539,0:00:02.190896
auction,255,0:00:02.812256,0:00:02.431894
auction,256,0:00:01.896976,0:00:01.530616
auction,257,0:00:02.944073,0:00:02.940524
auction,258,0:00:02.383268,0:00:02.379091
auction,259,0:00:04.300030,0:00:03.600375
auction,270,0:00:02.715375,0:00:02.340849
auction,271,0:00:02.171760,0:00:01.770804
auction,272,0:00:02.604591,0:00:02.251808
auction,273,0:00:02.354171,0:00:02.349242
auction,274,0:00:02.930105,0:00:02.550744
auction,285,0:00:01.812369,0:00:01.800281
auction,286,0:00:01.892817,0:00:01.501006
auction,287,0:00:02.691737,0:00:02.678760
auction,288,0:00:02.788781,0:00:02.760859
auction,289,0:00:02.573433,0:00:02.552183
auction,300,0:00:03.513374,0:00:03.151153
auction,301,0:00:01.919112,0:00:01.902377
auction,302,0:00:02.624835,0:00:02.250515
auction,303,0:00:01.651004,0:00:01.627901
auction,304,0:00:01.979093,0:00:01.960850
auction,315,0:00:02.525953,0:00:02.522440
auction,316,0:00:02.613987,0:00:02.610554
auction,317,0:00:03.075058,0:00:02.731108
auction,318,0:00:02.539430,0:00:01.860362
auction,319,0:00:02.972107,0:00:02.970645
auction,330,0:00:02.603088,0:00:01.801649
auction,331,0:00:02.718384,0:00:02.341067
auction,332,0:00:02.396636,0:00:02.040944
auction,333,0:00:01.994529,0:00:01.985878
auction,334,0:00:02.089816,0:00:01.710354
auction,345,0:00:02.342885,0:00:02.341599
auction,346,0:00:02.825751,0:00:02.822484
auction,347,0:00:02.824873,0:00:02.823116
auction,348,0:00:02.448178,0:00:02.100348
auction,349,0:00:01.772872,0:00:01.771473
auction,360,0:00:03.136494,0:00:02.760483
auction,361,0:00:03.515654,0:00:03.060684
auction,362,0:00:03.346299,0:00:02.971477
auction,363,0:00:02.884232,0:00:02.491536
auction,364,0:00:02.553389,0:00:02.551329
auction,375,0:00:02.734043,0:00:02.370432
auction,376,0:00:02.613096,0:00:02.611107
auction,377,0:00:02.097549,0:00:01.740320
auction,378,0:00:02.863597,0:00:02.855230
auction,379,0:00:02.853047,0:00:02.432077
auction,390,0:00:01.851327,0:00:01.500589
auction,391,0:00:02.139186,0:00:02.135211
auction,392,0:00:03.315792,0:00:02.941802
auction,393,0:00:03.761545,0:00:03.030682
auction,394,0:00:03.692106,0:00:03.300689
auction,405,0:00:02.042131,0:00:02.041063
auction,406,0:00:03.012795,0:00:03.011242
auction,407,0:00:02.647782,0:00:02.646563
auction,408,0:00:02.770914,0:00:02.769504
auction,409,0:00:02.719042,0:00:02.370876
auction,420,0:00:01.864911,0:00:01.864116
auction,421,0:00:03.192133,0:00:02.850903
auction,422,0:00:03.302929,0:00:02.940472
auction,423,0:00:03.232656,0:00:02.880637
auction,424,0:00:02.555083,0:00:02.160354
auction,435,0:00:03.128955,0:00:05.462182
auction,436,0:00:03.618785,0:00:03.210307
auction,437,0:00:02.975552,0:00:02.974450
auction,438,0:00:02.524707,0:00:01.831190
auction,439,0:00:01.980693,0:00:01.620959
auction,450,0:00:01.919464,0:00:01.560352
auction,451,0:00:02.278555,0:00:01.832932
auction,452,0:00:02.212340,0:00:02.163049
auction,453,0:00:02.382575,0:00:01.950878
auction,454,0:00:02.919399,0:00:02.490481
auction,465,0:00:02.705953,0:00:02.370366
auction,466,0:00:02.553533,0:00:02.552120
auction,467,0:00:02.314338,0:00:02.311098
auction,468,0:00:02.889882,0:00:02.520533
auction,469,0:00:02.795619,0:00:02.793373
auction,480,0:00:02.332772,0:00:01.950981
auction,481,0:00:02.107990,0:00:02.100534
auction,482,0:00:04.015847,0:00:03.330671
auction,483,0:00:03.190514,0:00:02.821113
auction,484,0:00:02.526988,0:00:02.521312
auction,495,0:00:03.519514,0:00:03.120627
auction,496,0:00:02.353373,0:00:02.350082
auction,497,0:00:03.285379,0:00:02.910846
auction,498,0:00:01.963951,0:00:01.960336
auction,499,0:00:02.015406,0:00:01.652694
auction,510,0:00:03.146228,0:00:02.100372
auction,511,0:00:02.797541,0:00:02.792072
auction,512,0:00:02.138764,0:00:02.135882
auction,513,0:00:02.389787,0:00:02.041193
auction,514,0:00:02.746508,0:00:05.881516
auction,525,0:00:02.733066,0:00:02.732417
auction,526,0:00:01.944669,0:00:01.592988
auction,527,0:00:01.563251,0:00:01.562593
auction,528,0:00:02.572290,0:00:02.221347
auction,529,0:00:02.734421,0:00:02.730666
auction,540,0:00:03.057852,0:00:02.670737
auction,541,0:00:02.319003,0:00:02.313174
auction,542,0:00:01.655968,0:00:01.652563
auction,543,0:00:02.676120,0:00:02.673422
auction,544,0:00:03.214745,0:00:02.850996
auction,555,0:00:02.149307,0:00:01.831305
auction,556,0:00:02.499944,0:00:02.492938
auction,557,0:00:02.238598,0:00:01.830352
auction,558,0:00:02.246047,0:00:01.860425
auction,559,0:00:02.557222,0:00:02.554394
auction,570,0:00:03.336092,0:00:02.911440
auction,571,0:00:02.930361,0:00:02.914262
auction,572,0:00:01.940200,0:00:01.531036
auction,573,0:00:02.708897,0:00:02.310776
auction,574,0:00:02.121649,0:00:01.711091
auction,585,0:00:03.171110,0:00:02.820330
auction,586,0:00:02.826858,0:00:02.822544
auction,587,0:00:02.706265,0:00:02.702650
auction,588,0:00:02.804552,0:00:02.799527
auction,589,0:00:02.568403,0:00:02.220282
auction,600,0:00:02.948793,0:00:02.580454
auction,601,0:00:03.016472,0:00:05.853233
auction,602,0:00:02.657312,0:00:02.220676
auction,603,0:00:02.110875,0:00:01.710330
auction,604,0:00:02.230895,0:00:02.220611
auction,615,0:00:02.612327,0:00:02.610776
auction,616,0:00:02.495119,0:00:02.491799
auction,617,0:00:02.555909,0:00:02.550341
auction,618,0:00:02.737063,0:00:02.340384
auction,619,0:00:02.882235,0:00:02.880294
auction,630,0:00:02.495084,0:00:02.494103
auction,631,0:00:03.479533,0:00:03.090811
auction,632,0:00:01.701369,0:00:01.696149
auction,633,0:00:02.408576,0:00:02.407355
auction,634,0:00:02.409850,0:00:02.408584
auction,645,0:00:02.072768,0:00:02.071221
auction,646,0:00:02.345003,0:00:02.343551
auction,647,0:00:03.905665,0:00:03.510687
auction,648,0:00:02.489246,0:00:02.131506
auction,649,0:00:02.385075,0:00:02.373773
auction,660,0:00:02.492118,0:00:02.100762
auction,661,0:00:02.681673,0:00:02.674107
auction,662,0:00:02.022429,0:00:02.011099
auction,663,0:00:02.831929,0:00:02.460508
auction,664,0:00:02.857115,0:00:02.161572
auction,675,0:00:02.704822,0:00:02.701838
auction,676,0:00:04.008856,0:00:03.601151
auction,677,0:00:02.224018,0:00:02.221824
auction,678,0:00:03.200597,0:00:02.821266
auction,679,0:00:02.732696,0:00:02.730860
auction,690,0:00:01.835397,0:00:01.834646
auction,691,0:00:02.989769,0:00:02.610520
auction,692,0:00:02.243562,0:00:01.890756
auction,693,0:00:02.197490,0:00:02.192879
auction,694,0:00:02.791412,0:00:02.431772
auction,705,0:00:03.248929,0:00:02.881111
auction,706,0:00:03.941761,0:00:03.240343
auction,707,0:00:01.542273,0:00:01.536454
auction,708,0:00:02.376424,0:00:02.375190
