n_type,request_id,completion_time,total_processing_time
auction,0,0:00:02.315752,0:00:02.313945
auction,1,0:00:02.965295,0:00:02.960405
auction,2,0:00:03.110234,0:00:02.701031
auction,3,0:00:02.817951,0:00:02.400302
auction,4,0:00:03.883060,0:00:03.450571
auction,15,0:00:03.165809,0:00:02.760391
auction,16,0:00:02.331254,0:00:01.922595
auction,17,0:00:02.346071,0:00:02.340774
auction,18,0:00:02.824020,0:00:02.821755
auction,19,0:00:02.855002,0:00:02.853891
auction,30,0:00:02.446281,0:00:02.011036
auction,31,0:00:02.704099,0:00:02.702576
auction,32,0:00:03.173234,0:00:02.790334
auction,33,0:00:03.481379,0:00:03.060693
auction,34,0:00:03.190877,0:00:02.790253
auction,45,0:00:02.672673,0:00:02.671306
auction,46,0:00:02.642137,0:00:02.641584
auction,47,0:00:02.943656,0:00:02.941955
auction,48,0:00:02.796950,0:00:02.794771
auction,49,0:00:03.445548,0:00:03.030628
auction,60,0:00:02.873469,0:00:02.460682
auction,61,0:00:02.741653,0:00:02.731849
auction,62,0:00:02.560391,0:00:02.556798
auction,63,0:00:02.679965,0:00:02.674671
auction,64,0:00:02.865181,0:00:02.853337
auction,75,0:00:02.750864,0:00:02.371107
auction,76,0:00:03.326180,0:00:02.611291
auction,77,0:00:03.425448,0:00:02.731054
auction,78,0:00:02.955763,0:00:02.949585
auction,79,0:00:02.484843,0:00:02.477551
auction,90,0:00:02.764063,0:00:02.763128
auction,91,0:00:02.253739,0:00:01.891050
auction,92,0:00:02.226754,0:00:02.222022
auction,93,0:00:03.554820,0:00:03.150657
auction,94,0:00:02.471666,0:00:02.465799
auction,105,0:00:02.971771,0:00:02.971046
auction,106,0:00:03.011227,0:00:03.000661
auction,107,0:00:02.882676,0:00:02.882160
auction,108,0:00:03.177198,0:00:02.820724
auction,109,0:00:02.881820,0:00:02.881080
auction,120,0:00:02.844403,0:00:02.190992
auction,121,0:00:02.626283,0:00:02.622952
auction,122,0:00:02.879419,0:00:02.521008
