n_type,request_id,completion_time,total_processing_time
auction,360,0:00:02.030421,0:00:02.013138
auction,361,0:00:01.814997,0:00:01.800785
auction,362,0:00:02.184288,0:00:02.160507
auction,363,0:00:01.610426,0:00:01.592804
auction,364,0:00:02.625612,0:00:02.611966
auction,375,0:00:02.766691,0:00:02.765754
auction,376,0:00:01.953598,0:00:01.952495
auction,377,0:00:01.775766,0:00:01.774707
auction,378,0:00:02.076339,0:00:02.074190
auction,379,0:00:02.614071,0:00:02.611719
auction,390,0:00:02.735874,0:00:02.734182
auction,391,0:00:02.791344,0:00:02.790445
auction,392,0:00:02.581680,0:00:02.580734
auction,393,0:00:02.195779,0:00:02.193949
auction,394,0:00:02.073489,0:00:01.741264
auction,405,0:00:02.584572,0:00:02.582351
auction,406,0:00:02.221865,0:00:02.220641
auction,407,0:00:01.864073,0:00:01.863096
auction,408,0:00:02.977096,0:00:02.975237
auction,409,0:00:02.012318,0:00:02.011300
auction,420,0:00:02.012894,0:00:02.011808
auction,421,0:00:02.887029,0:00:02.885279
auction,422,0:00:02.674854,0:00:02.672064
auction,423,0:00:01.684052,0:00:01.682802
auction,424,0:00:02.464440,0:00:02.462063
auction,435,0:00:01.655165,0:00:01.654026
auction,436,0:00:02.180678,0:00:01.830391
auction,437,0:00:02.914224,0:00:02.911632
auction,438,0:00:02.056804,0:00:01.680696
auction,439,0:00:02.826146,0:00:02.820756
auction,450,0:00:02.492857,0:00:02.490292
auction,451,0:00:02.235386,0:00:02.191277
auction,452,0:00:02.242774,0:00:02.190607
auction,453,0:00:02.507496,0:00:02.460682
auction,454,0:00:02.422053,0:00:02.372382
auction,465,0:00:02.253204,0:00:02.251044
auction,466,0:00:02.223291,0:00:02.222096
auction,467,0:00:02.672123,0:00:02.670640
auction,468,0:00:02.732313,0:00:02.731379
auction,469,0:00:02.256148,0:00:02.253456
auction,480,0:00:02.646194,0:00:02.310403
auction,481,0:00:02.257712,0:00:02.253158
auction,482,0:00:02.531878,0:00:02.160934
auction,483,0:00:02.285971,0:00:02.284748
auction,484,0:00:02.494274,0:00:02.491610
auction,495,0:00:02.401968,0:00:02.401024
auction,496,0:00:02.732397,0:00:02.730738
auction,497,0:00:02.226711,0:00:01.891557
auction,498,0:00:02.434081,0:00:02.430818
auction,499,0:00:02.402564,0:00:02.400466
auction,510,0:00:02.281188,0:00:02.280623
auction,511,0:00:02.014380,0:00:02.013384
auction,512,0:00:02.946056,0:00:02.943301
auction,513,0:00:02.045771,0:00:02.042954
auction,514,0:00:02.405544,0:00:02.401424
auction,525,0:00:02.314308,0:00:02.311016
auction,526,0:00:01.537886,0:00:01.532493
auction,527,0:00:02.555948,0:00:02.551050
auction,528,0:00:02.556087,0:00:02.551968
auction,529,0:00:02.497023,0:00:02.491805
auction,540,0:00:02.731467,0:00:02.730676
auction,541,0:00:02.312576,0:00:02.311277
auction,542,0:00:02.282770,0:00:02.281788
auction,543,0:00:02.283336,0:00:02.281019
auction,544,0:00:02.732991,0:00:02.731624
auction,555,0:00:03.005330,0:00:03.002193
auction,556,0:00:02.268415,0:00:01.920443
auction,557,0:00:02.200731,0:00:02.198450
auction,558,0:00:02.945516,0:00:02.944548
auction,559,0:00:02.166733,0:00:02.164250
auction,570,0:00:02.978700,0:00:02.975654
auction,571,0:00:02.581913,0:00:02.580442
auction,572,0:00:01.923016,0:00:01.921646
auction,573,0:00:02.195170,0:00:02.190738
auction,574,0:00:02.985409,0:00:02.610504
auction,585,0:00:02.344616,0:00:02.343737
auction,586,0:00:02.523150,0:00:02.522045
auction,587,0:00:02.406128,0:00:02.403023
auction,588,0:00:02.252349,0:00:02.250741
auction,589,0:00:02.709461,0:00:02.705576
auction,600,0:00:02.852365,0:00:02.851021
auction,601,0:00:01.562419,0:00:01.560561
auction,602,0:00:02.671252,0:00:02.670767
auction,603,0:00:01.831741,0:00:01.830638
auction,604,0:00:01.866672,0:00:01.865108
auction,615,0:00:02.118007,0:00:02.116320
auction,616,0:00:02.111582,0:00:02.110563
auction,617,0:00:02.554392,0:00:02.552021
auction,618,0:00:02.103113,0:00:02.100565
auction,619,0:00:02.115242,0:00:02.111972
auction,630,0:00:02.984027,0:00:02.640382
auction,631,0:00:01.718582,0:00:01.716593
auction,632,0:00:02.930409,0:00:02.580515
auction,633,0:00:02.891769,0:00:02.887701
auction,634,0:00:02.424140,0:00:02.040367
auction,645,0:00:02.769655,0:00:02.768835
auction,646,0:00:02.348671,0:00:02.347868
auction,647,0:00:02.979241,0:00:02.978486
auction,648,0:00:02.407177,0:00:02.406609
auction,649,0:00:01.956793,0:00:01.956076
auction,660,0:00:02.770861,0:00:02.769959
auction,661,0:00:02.657439,0:00:02.280852
auction,662,0:00:02.321008,0:00:02.318001
auction,663,0:00:01.897639,0:00:01.894512
auction,664,0:00:02.914370,0:00:02.913860
auction,675,0:00:02.191939,0:00:02.191243
auction,676,0:00:02.762945,0:00:02.761391
auction,677,0:00:01.985120,0:00:01.983598
auction,678,0:00:01.621499,0:00:01.620677
auction,679,0:00:02.614893,0:00:02.613938
auction,690,0:00:01.508575,0:00:01.505653
auction,691,0:00:01.831325,0:00:01.830792
auction,692,0:00:01.682444,0:00:01.681576
auction,693,0:00:02.884813,0:00:02.880923
auction,694,0:00:01.627636,0:00:01.624207
auction,705,0:00:02.851745,0:00:02.850587
auction,706,0:00:01.803317,0:00:01.801789
auction,707,0:00:02.376566,0:00:02.374017
auction,708,0:00:02.886256,0:00:02.883602
auction,709,0:00:02.224974,0:00:02.223360
auction,720,0:00:02.075403,0:00:02.073625
auction,721,0:00:02.439432,0:00:02.437059
auction,722,0:00:02.914300,0:00:02.911618
auction,723,0:00:02.791544,0:00:02.790509
auction,724,0:00:02.375297,0:00:02.040719
auction,735,0:00:02.314873,0:00:02.313170
auction,736,0:00:01.841693,0:00:01.837868
auction,737,0:00:02.887903,0:00:02.883130
