n_type,request_id,completion_time,total_processing_time
auction,0,0:00:02.314992,0:00:02.313053
auction,1,0:00:02.945075,0:00:02.943875
auction,2,0:00:03.083804,0:00:02.700934
auction,3,0:00:02.804834,0:00:02.401096
auction,4,0:00:03.838027,0:00:03.450307
auction,15,0:00:02.645660,0:00:02.643679
auction,16,0:00:02.464437,0:00:02.461704
auction,17,0:00:02.852878,0:00:02.851109
auction,18,0:00:02.229035,0:00:01.860401
auction,19,0:00:02.136591,0:00:02.131793
auction,30,0:00:03.327234,0:00:02.940501
auction,31,0:00:03.240244,0:00:02.880583
auction,32,0:00:03.162842,0:00:02.791268
auction,33,0:00:03.267225,0:00:02.282686
auction,34,0:00:02.200619,0:00:02.196965
auction,45,0:00:02.252729,0:00:02.250449
auction,46,0:00:02.916754,0:00:02.914416
auction,47,0:00:02.255978,0:00:02.251953
auction,48,0:00:03.395295,0:00:03.000450
auction,49,0:00:03.271546,0:00:02.550722
auction,60,0:00:02.161548,0:00:02.160970
auction,61,0:00:02.973257,0:00:02.971437
auction,62,0:00:01.502901,0:00:01.501392
auction,63,0:00:02.673781,0:00:02.672696
auction,64,0:00:02.091804,0:00:01.711496
auction,75,0:00:02.799378,0:00:02.797515
auction,76,0:00:02.469255,0:00:02.467190
auction,77,0:00:02.618716,0:00:02.280934
auction,78,0:00:02.660216,0:00:02.280914
auction,79,0:00:02.869013,0:00:02.220866
auction,90,0:00:01.833625,0:00:01.832579
auction,91,0:00:03.695166,0:00:03.300617
auction,92,0:00:01.893531,0:00:01.890898
auction,93,0:00:04.023199,0:00:03.301611
auction,94,0:00:02.586100,0:00:02.582187
auction,105,0:00:02.372028,0:00:02.371214
auction,106,0:00:03.367949,0:00:02.970486
auction,107,0:00:02.221711,0:00:01.832776
auction,108,0:00:02.798676,0:00:02.796804
auction,109,0:00:02.371322,0:00:01.951761
auction,120,0:00:02.026689,0:00:02.024945
auction,121,0:00:02.906843,0:00:02.521256
auction,122,0:00:02.493902,0:00:02.491432
auction,123,0:00:02.124099,0:00:02.119914
auction,124,0:00:02.862361,0:00:02.854696
auction,135,0:00:02.499128,0:00:02.101038
auction,136,0:00:03.435086,0:00:02.791488
auction,137,0:00:02.437785,0:00:02.071153
auction,138,0:00:02.077964,0:00:01.651175
auction,139,0:00:02.958868,0:00:02.954550
auction,150,0:00:02.911603,0:00:02.911077
auction,151,0:00:02.975976,0:00:02.975213
auction,152,0:00:02.902760,0:00:02.550665
auction,153,0:00:02.438474,0:00:02.430922
auction,154,0:00:03.008941,0:00:03.000968
auction,165,0:00:02.074673,0:00:02.073877
auction,166,0:00:03.783381,0:00:02.791109
auction,167,0:00:03.815297,0:00:03.150463
auction,168,0:00:01.926176,0:00:01.923034
auction,169,0:00:03.581557,0:00:03.210938
auction,180,0:00:02.171004,0:00:02.169454
auction,181,0:00:02.872806,0:00:02.490377
auction,182,0:00:01.748422,0:00:01.747518
auction,183,0:00:02.289842,0:00:02.288885
auction,184,0:00:02.943611,0:00:02.580450
auction,195,0:00:03.224258,0:00:02.850919
auction,196,0:00:01.563520,0:00:01.560892
auction,197,0:00:02.682573,0:00:02.340406
auction,198,0:00:02.705579,0:00:02.701299
auction,199,0:00:02.191783,0:00:02.190427
auction,210,0:00:03.506285,0:00:03.120692
auction,211,0:00:02.164450,0:00:02.162124
auction,212,0:00:01.923430,0:00:01.922844
auction,213,0:00:02.583654,0:00:02.581761
auction,214,0:00:02.690828,0:00:02.281204
auction,225,0:00:02.877592,0:00:02.430865
auction,226,0:00:02.759780,0:00:02.401521
auction,227,0:00:02.987669,0:00:02.610781
auction,228,0:00:03.444900,0:00:02.730779
auction,229,0:00:02.666727,0:00:02.311076
auction,240,0:00:02.137181,0:00:02.131914
auction,241,0:00:02.527575,0:00:02.521559
auction,242,0:00:02.077129,0:00:02.075882
auction,243,0:00:02.329232,0:00:01.980654
auction,244,0:00:02.914463,0:00:02.911915
auction,255,0:00:02.586666,0:00:02.583066
auction,256,0:00:02.675867,0:00:02.674476
auction,257,0:00:02.796777,0:00:02.795421
auction,258,0:00:02.237168,0:00:01.860522
auction,259,0:00:03.268384,0:00:02.881132
auction,270,0:00:02.766517,0:00:02.765606
auction,271,0:00:02.076381,0:00:02.075773
auction,272,0:00:02.582075,0:00:02.581158
auction,273,0:00:01.592591,0:00:01.591168
auction,274,0:00:03.303643,0:00:02.940755
